Age,Gender,Race,Income
40-49,Female,White,Low
65+,Female,White,Low
65+,Male,White,Low
50-64,Female,White,Medium
30-39,Male,White,High
30-39,Female,White,Medium
18-24,Female,White,Medium
65+,Female,Hispanic,Low
50-64,Male,White,High
50-64,Female,White,Medium
18-24,Male,White,High
65+,Female,White,Medium
65+,Male,White,High
30-39,Male,White,High
30-39,Male,White,Low
30-39,Female,White,Medium
40-49,Female,Black,Medium
50-64,Male,Black,Medium
50-64,Female,White,Medium
40-49,Male,White,High
50-64,Female,Black,Low
30-39,Male,White,Low
40-49,Female,Other,High
40-49,Female,White,Low
50-64,Male,White,High
65+,Male,White,Low
30-39,Male,Asian,High
50-64,Female,White,High
50-64,Male,White,High
18-24,Male,White,High
50-64,Female,White,Low
30-39,Female,White,Medium
18-24,Female,Black,Low
65+,Female,White,High
65+,Female,White,Low
65+,Male,Black,Medium
40-49,Male,White,High
25-29,Female,White,Low
50-64,Female,Hispanic,High
50-64,Male,White,Medium
25-29,Male,White,Medium
50-64,Male,White,High
18-24,Female,White,High
65+,Female,White,Low
30-39,Male,Black,Medium
50-64,Male,Black,High
40-49,Male,Hispanic,Medium
50-64,Male,White,High
50-64,Male,White,Low
30-39,Male,Black,High
65+,Male,Asian,Medium
65+,Male,Black,Low
65+,Male,Hispanic,Low
65+,Female,White,High
50-64,Female,Hispanic,Low
65+,Female,Black,High
25-29,Female,Black,High
30-39,Female,White,Medium
18-24,Male,White,Low
40-49,Male,White,Medium
40-49,Female,White,High
30-39,Male,White,Low
65+,Male,White,High
40-49,Male,White,Low
40-49,Female,Black,Medium
50-64,Male,White,High
30-39,Male,White,Medium
65+,Female,White,Medium
18-24,Female,White,Low
65+,Male,White,High
65+,Female,White,High
30-39,Female,Black,Medium
18-24,Male,Asian,High
65+,Male,Black,Medium
50-64,Male,Other,High
65+,Female,White,High
65+,Male,White,Medium
18-24,Female,White,High
40-49,Female,White,High
25-29,Female,White,Low
65+,Female,White,High
50-64,Female,White,Medium
40-49,Female,White,Low
18-24,Male,White,Low
40-49,Male,White,High
40-49,Female,Hispanic,Medium
65+,Female,Black,High
50-64,Female,White,Medium
65+,Female,White,Low
50-64,Male,Black,High
25-29,Male,White,Medium
65+,Female,White,Low
65+,Male,White,Low
50-64,Male,White,Low
65+,Female,White,Medium
50-64,Female,Black,Medium
50-64,Female,White,Low
40-49,Female,Black,High
18-24,Male,Hispanic,High
25-29,Male,Hispanic,High
18-24,Female,Hispanic,Medium
50-64,Male,White,Low
40-49,Female,Black,High
50-64,Male,White,Medium
65+,Female,Hispanic,High
30-39,Female,White,Medium
40-49,Male,Hispanic,Medium
65+,Male,Black,High
30-39,Female,White,Low
18-24,Female,Asian,Medium
40-49,Male,White,Low
30-39,Male,White,High
65+,Male,White,Medium
65+,Female,White,Medium
50-64,Male,White,High
65+,Female,Black,Medium
65+,Male,Hispanic,Low
30-39,Male,Black,Medium
65+,Female,White,Low
50-64,Male,White,High
65+,Male,White,High
65+,Female,White,High
40-49,Male,White,High
25-29,Female,Black,Low
30-39,Female,White,Low
40-49,Female,White,Medium
65+,Male,White,High
65+,Male,Hispanic,Low
18-24,Female,White,High
50-64,Female,Black,High
40-49,Female,Other,Medium
30-39,Female,White,High
25-29,Male,White,High
40-49,Male,Other,Medium
65+,Female,White,Medium
40-49,Female,White,High
50-64,Male,White,Low
50-64,Female,Black,Low
40-49,Female,White,High
65+,Female,White,Low
65+,Male,Asian,Medium
30-39,Male,Black,Low
50-64,Female,White,Low
40-49,Male,White,Low
40-49,Female,White,High
18-24,Female,Hispanic,Medium
50-64,Female,Hispanic,Medium
50-64,Female,White,Low
18-24,Male,White,Low
30-39,Female,White,Medium
65+,Male,White,Low
30-39,Female,White,Low
30-39,Male,White,High
50-64,Female,White,Low
65+,Female,Hispanic,High
30-39,Female,Black,Low
50-64,Female,White,High
65+,Female,White,Low
30-39,Female,White,Medium
65+,Female,White,Medium
40-49,Female,White,Medium
50-64,Female,White,Low
50-64,Male,White,Low
50-64,Male,White,High
25-29,Female,White,Low
65+,Male,White,Medium
40-49,Male,Hispanic,Low
30-39,Male,Asian,Low
18-24,Female,Black,Low
50-64,Female,White,High
50-64,Male,Black,High
18-24,Female,White,High
50-64,Male,Asian,Low
30-39,Female,Hispanic,High
50-64,Male,Hispanic,Medium
30-39,Male,White,High
50-64,Male,White,Medium
40-49,Male,Black,Low
65+,Male,Hispanic,Medium
30-39,Female,Black,High
40-49,Male,White,High
25-29,Female,Black,High
65+,Female,White,Medium
65+,Male,White,Medium
30-39,Female,White,High
50-64,Female,Hispanic,Low
65+,Female,Hispanic,High
50-64,Female,White,High
